Date,GPR_AI,USA|Iraq,USA|Vietnam,Israel|Palestine,USA|Russia,Russia|USA,Russia|Ukraine,USA|Afghanistan,USA|Iran,Serbia|Bosnia,Israel|Lebanon,Palestine|Israel,Vietnam|USA,USA|North Korea,USA|China,Iraq|USA,Iran|USA,USA|Cuba,China|USA,USA|Syria,North Korea|USA,USA|Pakistan,USA|Israel,USA|Nicaragua,USA|Bosnia,India|Pakistan,Egypt|Israel,UK|Ireland,Iraq|Iran,North Korea|South Korea,Israel|Egypt,Iraq|Kuwait,USA|Serbia,Israel|USA,Pakistan|India,USA|Libya,Israel|Syria,Vietnam|Cambodia,Syria|Lebanon,USA|Haiti,Russia|Afghanistan,USA|Somalia,Iran|Iraq,Israel|Iran,Syria|Israel,China|Taiwan,France|Algeria,USA|Cambodia,Cuba|USA,Ireland|UK,UK|Iraq,Serbia|USA,USA|El Salvador,Israel|Jordan,Syria|USA,Serbia|Croatia,USA|Palestine,USA|Laos,USA|Lebanon,Croatia|Bosnia,Croatia|Serbia,Russia|Czechia,Vietnam|Laos,China|India,Lebanon|USA,Russia|Poland,Turkey|Cyprus,Lebanon|Israel,Bosnia|USA,Afghanistan|USA,Russia|Germany,China|Vietnam,USA|Venezuela,USA|Germany,USA|Saudi Arabia,Russia|Georgia,Ukraine|Russia,Libya|USA,USA|Ukraine,Saudi Arabia|USA,USA|Sudan,Palestine|Lebanon,China|Russia,USA|Yemen,Iran|Israel,Russia|UK,Pakistan|USA,Russia|Syria,Palestine|USA,Russia|China,UK|Argentina,Argentina|UK,USA|Panama,Saudi Arabia|Yemen,USA|UK,Russia|Lithuania,Turkey|Greece,USA|Egypt,Iraq|Israel,Bosnia|Serbia,Turkey|Iraq,Algeria|France,South Africa|Angola,Pakistan|Afghanistan,Ethiopia|Somalia,Rwanda|DRC,Jordan|Israel,USA|Turkey,Egypt|USA,UK|USA,UK|Zimbabwe,USA|India,USA|Dominican Republic,Germany|USA,USA|Japan,UK|Russia,Israel|Iraq,Indonesia|Malaysia,Sudan|USA,Russia|Israel,France|USA
1960-01-01,116.35,0.0,0.0,0.0,8.0724,22.2798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6458,0.0,0.0,3.5519,2.5832,0.0,0.0,0.0,0.0,0.0,0.0,0.3229,0.3229,0.0,0.0,0.3229,0.3229,0.0,0.0,0.0,0.3229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3229,0.0,0.6458,0.9687,28.1995,0.0,3.5519,0.3229,0.0,0.0,0.0,0.9687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3229,2.9061,0.0,0.0,0.0,0.0,0.0,0.6458,0.9687,0.0,0.0,0.3229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3229,0.0,0.0,0.3229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5519,0.0,0.0,0.0,0.0,0.3229,0.0,0.0,0.0,0.3229,0.0,0.0,0.6458,0.9687,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-01,129.76,0.0,0.0,0.0,13.5674,17.3941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3479,0.3479,0.0,0.0,3.8267,0.3479,0.0,0.0,0.3479,0.0,0.0,0.0,0.0,3.015,0.0,0.0,0.0,0.6958,0.0,0.0,0.0,0.0,0.0,7.5374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0873,1.0436,11.828,0.0,2.0873,0.0,0.0,0.0,0.0,0.3479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7394,0.0,0.0,0.0,0.3479,0.0,0.0,3.8267,0.0,0.3479,1.3915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3479,0.0,0.0,1.0436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7831,0.3479,0.0,0.0,0.0,0.0,0.0,1.7394,0.0,0.0,0.0,0.0,0.3479,0.0,0.0,0.0,0.0,0.3479,0.0,1.0436,0.0,0.6958,0.0,0.0,0.0,0.0,2.7831
1960-03-01,112.5,0.0,0.3613,0.0,14.8153,11.2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.084,0.0,0.0,6.1429,0.7227,0.0,0.0,0.0,0.3613,0.0,0.0,0.3613,1.084,0.0,0.0,0.3613,0.3613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7227,5.7816,0.0,7.227,0.0,0.0,0.0,0.0,0.7227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.084,0.0,0.0,0.0,0.0,0.0,0.0,7.227,0.0,0.0,1.8067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3613,0.0,0.0,2.6499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7227,0.0,0.0,0.0,0.3613,0.0,0.0,1.084,0.0,0.0,0.0,0.0,0.8431,0.0,0.0,0.0,0.3613,0.0,0.3613,1.084,0.3613,2.5294,0.0,0.0,0.0,0.7227,1.2045
1960-04-01,120.21,0.0,0.0,0.0,11.8353,16.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3481,0.0,0.0,2.4367,3.9451,0.0,0.3481,0.0,0.0,0.0,0.0,0.0,1.0443,0.3481,0.0,1.7405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5253,0.0,1.0443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3481,0.0,0.0,0.0,0.0,0.3481,4.1772,0.0,0.0,0.0,0.0,0.0,0.0,2.7848,0.0,0.3481,0.6962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3481,0.0,0.0,1.0443,0.0,0.0,0.0,0.0,0.0,0.0,0.6962,0.0,0.3481,0.0,0.0,0.3481,0.0,0.0,0.0,0.6962,0.0,0.0,0.0,0.0,0.0,0.0,0.6962,0.3481,0.0,0.0,0.0,0.0,0.0,2.4367,0.0,0.0,0.0,0.0,1.0443
1960-05-01,153.26,0.0,0.2645,0.0,52.9973,42.4155,0.0,0.0,0.2645,0.0,0.0,0.0,0.0,0.0,2.6455,0.0,0.0,2.1164,3.9682,0.2645,0.0,0.5291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873,0.2645,0.0,0.0,0.0,0.0,0.0,0.0,0.5291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7936,1.5873,0.0,5.0264,0.2645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2645,0.0,0.0,0.0,0.2645,0.5291,0.0,0.5291,0.0,0.0,0.0,0.0,3.5273,0.5291,0.0,0.5291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5291,0.0,0.0,0.0,0.0,0.0,0.0,2.1164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2645,0.0,0.0,0.0,1.0582,2.1164,1.5873,0.0,0.0,0.0,0.0,0.0
1960-06-01,140.76,0.0,0.3564,0.0,14.9669,22.9255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3564,2.1381,0.0,0.0,4.989,8.9089,0.0,1.7818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7707,3.5635,0.0,5.7017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7818,0.0,0.0,0.0,0.0,0.0,0.0,0.3564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0691,0.0,0.0,1.7818,0.0,0.0,0.0,0.7127,0.0,0.0,0.0,0.0,0.7127,0.0,0.0,0.0,0.0,0.0,0.0,1.7818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7127,0.0,0.3564,0.3564,0.7127,13.1851,1.4254,0.0,0.0,0.0,0.0,0.0
1960-07-01,159.29,0.0,0.0,0.0,19.9112,27.7153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2188,0.0,0.0,0.0,13.493,1.8234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2917,0.0,0.0,1.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2188,0.9482,0.0,8.1687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2188,0.0,0.0,0.0,0.0,0.0,2.6257,0.0,0.2188,0.2188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2188,0.0,0.0,1.8963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2188,0.0,0.0,0.0,0.0,0.0,0.0,0.8752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094,0.0,0.0,0.8752,0.0,1.4587,0.0,0.0,0.0,0.0,0.0
1960-08-01,166.46,0.0,0.2417,0.0,17.9674,10.3131,0.0,0.0,0.0,0.0,0.0,0.0,0.2417,0.0,0.0,0.0,0.0,15.7114,1.2086,0.0,0.0,0.0,0.2417,0.0,0.0,0.2417,0.0,0.0,0.0,0.4834,0.2417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2891,0.0,8.9434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4834,0.0,0.0,0.0,0.0,0.2417,0.7251,0.0,0.0,0.0,0.0,0.0,0.0,0.7251,0.0,0.2417,0.9669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9669,0.0,0.0,0.9669,0.0,0.0,0.0,0.4834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1423,0.0,0.0,0.2417,0.0,0.0,0.0,0.0,0.2417,0.0,0.2417,3.1423,1.2086,0.0,0.4834,0.0,0.0,0.0,0.0,0.0
1960-09-01,156.08,0.0,0.0,0.0,10.0783,27.6147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0078,0.0,0.0,3.2251,1.075,0.0,0.0,0.0,0.0,0.0,0.0,0.4031,0.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8063,0.0,0.0,0.0,0.0,0.2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0078,0.0,10.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8141,0.0,0.0,0.0,0.0,2.3516,0.6047,0.0,0.0,0.0,0.0,0.0,0.0,1.4782,0.0,0.0,0.4031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2016,0.0,0.0,1.0078,0.0,0.0,0.0,1.6125,0.0,0.0,0.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8813,0.0,0.0,0.0,0.0,0.0,0.0,0.2016,0.2016,0.0,0.0,0.4031,1.8141,0.0,0.6047,0.0,0.0,0.0,0.0,0.0
1960-10-01,155.37,0.0,0.0,0.0,12.2154,15.9804,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.0,7.279,0.0,0.0,23.2595,3.8487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757,3.5977,0.0,11.7971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6774,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,0.0,0.0,1.255,0.0,0.0,0.0,0.502,0.0,0.0,0.0,0.0,1.004,0.0,0.0,0.0,0.0,0.0,0.0,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004,0.0,1.255,0.0,0.0,0.0,0.0,0.753
