Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea,THREATS_GPR_AI,ACTS_GPR_AI
1960-01-01,109.67,90.34,0.00,116.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.79,87.16
1960-01-02,133.24,89.38,0.00,141.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.98,79.84
1960-01-03,56.84,74.84,0.00,60.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.33,33.87
1960-01-04,149.87,63.98,83.25,154.22,83.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173.92,94.30
1960-01-05,93.22,159.18,0.00,99.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.54,73.47
1960-01-06,76.88,26.74,0.00,81.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.81,50.17
1960-01-07,74.82,63.87,0.00,79.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.25,24.73
1960-01-08,122.00,107.83,0.00,129.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.11,52.98
1960-01-09,103.19,56.18,0.00,109.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.36,52.70
1960-01-10,63.10,74.79,29.95,65.27,29.95,0.00,0.00,0.00,29.95,0.00,0.00,0.00,83.42,32.89
1960-01-11,110.54,72.67,0.00,117.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.04,35.24
1960-01-12,121.91,61.33,0.00,129.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.62,63.92
1960-01-13,92.47,76.47,0.00,98.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.87,57.57
1960-01-14,77.66,60.78,0.00,82.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.47,27.15
1960-01-15,128.18,42.99,0.00,136.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169.47,48.01
1960-01-16,130.05,115.71,0.00,138.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.78,82.69
1960-01-17,59.93,25.78,0.00,63.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.44,15.35
1960-01-18,143.41,146.04,0.00,152.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,211.74,43.49
1960-01-19,111.56,49.89,0.00,118.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.97,44.57
1960-01-20,170.11,214.79,0.00,181.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228.70,83.95
1960-01-21,106.46,90.89,52.57,109.98,0.00,0.00,0.00,0.00,52.57,0.00,0.00,0.00,155.57,43.30
1960-01-22,118.65,67.53,0.00,126.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148.90,72.39
1960-01-23,125.39,126.62,0.00,133.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.87,56.55
1960-01-24,58.21,58.05,0.00,62.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.04,31.11
1960-01-25,175.42,95.96,83.25,181.44,0.00,0.00,0.00,0.00,83.25,0.00,0.00,0.00,188.41,128.59
1960-01-26,169.29,81.53,70.73,175.73,0.00,0.00,0.00,0.00,70.73,0.00,0.00,0.00,209.32,135.95
1960-01-27,153.40,78.78,0.00,163.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.97,94.51
1960-01-28,134.89,74.52,110.83,136.47,0.00,0.00,0.00,0.00,110.83,0.00,0.00,0.00,185.21,87.49
1960-01-29,170.96,92.12,137.01,173.18,0.00,68.50,68.50,0.00,68.50,0.00,0.00,0.00,200.34,112.86
1960-01-30,183.40,76.55,132.83,186.71,0.00,0.00,0.00,0.00,132.83,0.00,0.00,0.00,161.86,173.24
1960-01-31,82.26,57.22,0.00,87.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.93,68.16
1960-02-01,203.15,163.06,0.00,216.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.13,163.14
1960-02-02,170.35,26.01,135.41,172.64,67.70,0.00,0.00,0.00,67.70,0.00,0.00,0.00,179.15,134.78
1960-02-03,137.35,157.45,126.09,138.08,126.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.33,114.68
1960-02-04,105.21,126.14,0.00,112.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.07,61.98
1960-02-05,120.11,200.80,0.00,127.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.46,44.32
1960-02-06,154.19,135.33,0.00,164.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.40,99.13
1960-02-07,74.91,56.66,24.58,78.20,0.00,0.00,0.00,0.00,24.58,0.00,0.00,0.00,96.69,51.45
1960-02-08,148.05,207.07,76.99,152.69,0.00,0.00,0.00,0.00,0.00,76.99,0.00,0.00,219.81,71.35
1960-02-09,149.00,181.39,0.00,158.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,211.33,60.18
1960-02-10,145.61,101.29,0.00,155.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195.05,67.87
1960-02-11,131.56,162.83,0.00,140.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171.85,53.05
1960-02-12,157.07,148.87,140.89,158.13,140.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.93,60.45
1960-02-13,139.58,65.54,68.24,144.25,68.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.91,117.10
1960-02-14,89.22,94.10,69.97,90.48,0.00,0.00,0.00,0.00,23.32,46.65,0.00,0.00,118.56,56.84
1960-02-15,178.80,139.93,80.93,185.20,0.00,0.00,0.00,0.00,80.93,0.00,0.00,0.00,211.33,94.44
