Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,THREATS_GPR_AI,ACTS_GPR_AI,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
1960-01-01,109.67,90.34,0.0,116.84,104.79,87.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-02,133.24,89.38,0.0,141.95,161.98,79.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-03,56.84,74.84,0.0,60.56,72.33,33.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-04,149.87,63.98,83.25,154.22,173.92,94.3,83.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-05,93.22,159.18,0.0,99.32,86.54,73.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-06,76.88,26.74,0.0,81.91,84.81,50.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-07,74.82,63.87,0.0,79.71,102.25,24.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-08,122.0,107.83,0.0,129.97,166.11,52.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-09,103.19,56.18,0.0,109.94,132.36,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-10,63.1,74.79,29.95,65.27,83.42,32.89,29.95,0.0,0.0,0.0,29.95,0.0,0.0,0.0
1960-01-11,110.54,72.67,0.0,117.77,158.04,35.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-12,121.91,61.33,0.0,129.88,155.62,63.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-13,92.47,76.47,0.0,98.52,110.87,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-14,77.66,60.78,0.0,82.74,106.47,27.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-15,128.18,42.99,0.0,136.56,169.47,48.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-16,130.05,115.71,0.0,138.56,153.78,82.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-17,59.93,25.78,0.0,63.85,93.44,15.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-18,143.41,146.04,0.0,152.79,211.74,43.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
