Date,GPR_AI,GPR_AER,GPR_OIL
1960-01-01,116.35,83.01,22.59
1960-02-01,129.76,115.2,48.7
1960-03-01,112.5,90.54,12.41
1960-04-01,120.21,111.91,12.85
1960-05-01,153.26,127.65,15.72
1960-06-01,140.76,108.1,36.13
1960-07-01,159.29,104.12,92.44
1960-08-01,166.46,122.4,82.85
1960-09-01,156.08,115.62,57.19
1960-10-01,155.37,125.26,26.79
1960-11-01,133.09,114.56,49.11
1960-12-01,141.75,111.86,64.29
1961-01-01,140.79,112.99,20.49
1961-02-01,141.19,102.01,38.75
1961-03-01,147.89,118.04,47.54
1961-04-01,193.68,173.82,30.78
1961-05-01,167.2,137.59,31.02
1961-06-01,164.5,131.37,75.61
1961-07-01,199.85,181.31,167.65
1961-08-01,218.98,216.76,53.64
1961-09-01,224.58,234.59,42.54
1961-10-01,191.88,166.74,14.92
1961-11-01,187.59,165.05,30.56
1961-12-01,197.93,181.29,75.5
1962-01-01,148.04,136.09,41.24
1962-02-01,151.53,141.52,21.35
1962-03-01,152.66,156.55,40.29
1962-04-01,145.71,146.38,35.93
1962-05-01,150.51,138.41,24.89
1962-06-01,133.79,120.92,36.38
1962-07-01,134.1,115.95,32.87
1962-08-01,134.9,98.97,14.44
1962-09-01,160.02,137.06,23.81
1962-10-01,245.7,295.33,103.82
1962-11-01,190.24,217.41,133.35
1962-12-01,176.45,184.05,126.32
1963-01-01,167.09,150.87,46.01
1963-02-01,178.58,188.22,177.27
1963-03-01,157.65,144.17,127.0
1963-04-01,142.06,142.55,52.88
1963-05-01,134.02,127.98,34.13
1963-06-01,123.63,108.63,48.85
1963-07-01,146.33,149.99,21.73
1963-08-01,147.65,161.82,43.07
1963-09-01,149.26,126.05,62.16
1963-10-01,136.06,132.8,47.13
1963-11-01,125.88,124.15,41.12
1963-12-01,110.09,92.55,35.52
1964-01-01,140.23,89.53,32.81
1964-02-01,152.74,102.21,47.82
1964-03-01,133.47,95.83,40.06
1964-04-01,126.81,95.0,35.47
1964-05-01,150.98,98.16,57.58
1964-06-01,145.47,126.83,32.55
1964-07-01,157.08,152.05,26.91
1964-08-01,174.69,160.77,60.95
1964-09-01,141.54,118.48,69.52
1964-10-01,123.57,126.58,5.68
1964-11-01,141.73,112.42,18.36
1964-12-01,131.18,124.37,49.59
1965-01-01,115.87,86.71,32.48
1965-02-01,174.19,114.06,30.84
