Date,GPR_AI,military_conflict,diplomatic_tension,terrorism,civil_war,nuclear_threat,coup,sanctions,other
1960-01-01,116.35,13.1034,56.0133,5.5232,13.6367,15.9603,2.3236,0.4952,9.2943
1960-02-01,129.76,19.2458,62.4717,4.7343,9.4274,24.7417,1.1527,0.5352,7.4513
1960-03-01,112.5,10.0798,69.241,4.2763,6.4908,14.1269,0.84,0.3436,7.1016
1960-04-01,120.21,9.4762,70.6893,5.6934,15.2842,10.7371,1.9869,0.4203,5.9226
1960-05-01,153.26,13.4553,112.4268,2.934,6.3913,10.1663,2.8779,0.3738,4.6346
1960-06-01,140.76,15.1205,94.4037,5.4513,6.1278,7.8388,3.1833,1.4723,7.1623
1960-07-01,159.29,23.546,91.9021,3.5613,17.841,9.9578,1.141,2.7661,8.5748
1960-08-01,166.46,18.1104,105.8136,3.956,10.7066,8.3838,7.0409,3.7382,8.7104
1960-09-01,156.08,13.9338,99.0233,6.006,17.6876,5.7958,5.5555,1.3213,6.7567
1960-10-01,155.37,18.5644,88.394,7.3798,11.2173,13.9725,4.7559,4.7231,6.3631
1960-11-01,133.09,19.3532,68.506,4.5084,15.1747,10.1165,6.561,0.9163,7.9539
1960-12-01,141.75,19.9696,62.8343,5.6625,26.2738,11.6269,8.2294,1.2457,5.9078
1961-01-01,140.79,26.7025,69.4438,3.7698,20.6639,7.6791,4.6773,0.8028,7.0508
1961-02-01,141.19,13.8363,84.6026,3.5126,19.5764,8.653,4.0267,0.7282,6.2542
1961-03-01,147.89,29.3326,80.1485,5.4146,16.3998,7.0897,2.0256,1.2076,6.2716
1961-04-01,193.68,58.123,84.9227,8.401,17.5623,7.2986,8.8952,1.5586,6.9185
1961-05-01,167.2,32.1097,82.6061,6.4219,17.5839,7.8363,11.0473,0.8792,8.7155
1961-06-01,164.5,20.8901,101.0081,6.0245,9.78,9.6627,7.9805,0.8998,8.2543
1961-07-01,199.85,47.6191,111.1179,5.8931,8.0288,13.1309,4.4297,0.8503,8.7803
1961-08-01,218.98,35.3479,130.3016,9.7937,9.876,15.9662,5.3907,1.2345,11.0694
1961-09-01,224.58,37.5498,95.1928,7.9094,11.3049,58.9612,6.2317,0.9987,6.4314
1961-10-01,191.88,32.1388,91.9006,4.304,8.9608,43.9218,3.8101,0.9878,5.8562
1961-11-01,187.59,30.4956,91.1994,6.6661,11.1102,34.9397,5.6317,1.2643,6.283
1961-12-01,197.93,61.1665,90.5632,6.5454,12.019,17.5308,2.2201,1.11,6.775
1962-01-01,148.04,30.9752,68.2166,10.147,12.4257,9.0789,6.4087,3.3111,7.4768
1962-02-01,151.53,27.257,74.3084,9.6577,13.3691,15.3645,3.0729,3.7912,4.7091
1962-03-01,152.66,34.5279,62.8875,7.517,11.7251,20.5729,7.6609,1.043,6.7257
1962-04-01,145.71,28.7119,61.2591,9.4989,7.9576,25.3066,6.9898,0.3943,5.5918
1962-05-01,150.51,43.0236,53.9612,15.0801,9.8838,16.2429,2.1439,0.5087,9.6658
1962-06-01,133.79,24.8912,61.5783,12.0011,8.7871,14.1551,2.1199,1.5044,8.7529
1962-07-01,134.1,24.6819,56.8284,4.0136,15.5293,16.242,7.5396,1.3129,7.9522
1962-08-01,134.9,22.6365,65.6498,7.5838,10.6863,13.444,6.7029,1.5321,6.6646
1962-09-01,160.02,35.389,74.1701,7.6933,13.2884,15.1068,6.0847,1.7135,6.5742
1962-10-01,245.7,54.7763,104.344,7.4507,10.7621,52.8102,3.3804,5.0016,7.1747
1962-11-01,190.24,56.8844,79.5106,6.3038,7.1293,29.9431,2.0637,1.7636,6.6415
1962-12-01,176.45,43.5406,84.757,2.9778,7.4081,24.1852,4.2124,2.0699,7.2991
1963-01-01,167.09,33.4475,86.2421,6.1484,9.5096,16.5926,6.4928,0.9182,7.7388
1963-02-01,178.58,24.6595,98.7722,9.9328,6.3279,21.0162,8.9357,2.4161,6.5196
1963-03-01,157.65,19.1249,85.2958,10.3463,7.0369,20.2048,7.8729,1.8811,5.8873
1963-04-01,142.06,22.5208,69.3145,6.2051,16.8267,12.6292,6.8621,1.4965,6.2051
1963-05-01,134.02,20.1427,71.9334,4.8716,12.9909,11.1597,5.9081,0.8638,6.1499
1963-06-01,123.63,18.062,65.5476,7.0646,15.8042,8.7033,2.9861,0.5462,4.9161
1963-07-01,146.33,17.1343,87.4691,3.1362,12.2388,10.1352,5.8899,3.4422,6.8843
