date,usa,canada,uk,western_europe,eastern_europe,japan,china,asia,australia,latin_america,middle_east,russia,africa
1960-01-01,86.73,0.0,0.0,553.66,0.0,0.0,0.0,0.0,0.0,1138.65,0.0,0.0,0.0
1960-01-02,109.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-03,64.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-06,216.46,0.0,0.0,376.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-07,104.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-08,0.0,0.0,1453.71,439.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-09,137.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-10,0.0,0.0,1240.83,375.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-11,224.2,0.0,788.72,477.09,0.0,0.0,0.0,0.0,0.0,490.59,0.0,0.0,2130.94
1960-01-12,112.85,0.0,893.25,1080.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-13,77.62,911.6,0.0,495.54,0.0,496.63,0.0,0.0,0.0,509.56,0.0,0.0,0.0
1960-01-14,109.77,1289.06,0.0,350.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-16,208.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-17,67.33,1054.31,473.73,573.11,0.0,0.0,0.0,0.0,0.0,294.67,0.0,0.0,0.0
1960-01-18,74.73,0.0,0.0,477.09,0.0,0.0,0.0,0.0,0.0,981.18,0.0,0.0,0.0
1960-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-20,39.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-21,100.07,1410.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-22,69.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-23,71.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-24,35.35,0.0,0.0,0.0,0.0,339.21,0.0,476.87,0.0,0.0,0.0,0.0,1511.76
1960-01-25,82.65,0.0,0.0,527.6,0.0,1057.52,0.0,0.0,0.0,0.0,0.0,2082.08,0.0
1960-01-26,222.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-27,133.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
