date,deregulation_index,regulation_index,foreign_deregulation_index,deregulation_proposed,deregulation_enacted,federal_register_index
1960-01-01,86.73,193.38,393.85,129.64,0.0,
1960-01-02,109.77,23.68,0.0,164.08,0.0,
1960-01-03,64.28,63.41,62.55,96.09,0.0,
1960-01-04,0.0,97.61,0.0,0.0,0.0,
1960-01-05,0.0,58.87,0.0,0.0,0.0,
1960-01-06,216.46,114.64,134.04,264.73,118.94,
1960-01-07,104.54,81.2,0.0,62.5,189.56,
1960-01-08,0.0,143.66,156.38,0.0,0.0,
1960-01-09,137.75,79.26,0.0,102.95,208.15,
1960-01-10,0.0,80.34,133.48,0.0,0.0,
1960-01-11,224.2,86.0,169.69,167.57,338.8,
1960-01-12,112.85,57.83,384.36,0.0,341.06,
1960-01-13,77.62,58.62,352.51,0.0,234.6,
1960-01-14,109.77,114.48,249.23,164.08,0.0,
1960-01-15,0.0,74.72,0.0,0.0,0.0,
1960-01-16,208.66,55.03,0.0,311.91,0.0,
1960-01-17,67.33,38.74,203.85,67.1,67.83,
1960-01-18,74.73,75.25,339.38,111.71,0.0,
1960-01-19,0.0,53.84,0.0,0.0,0.0,
1960-01-20,39.03,71.58,0.0,58.34,0.0,
1960-01-21,100.07,86.37,136.33,149.58,0.0,
1960-01-22,69.9,67.87,0.0,104.49,0.0,
1960-01-23,71.68,92.8,0.0,107.15,0.0,
1960-01-24,35.35,22.88,60.19,26.42,53.41,
1960-01-25,82.65,17.83,375.31,123.54,0.0,
1960-01-26,222.06,87.12,0.0,331.92,0.0,
1960-01-27,133.81,86.62,0.0,200.02,0.0,
1960-01-28,210.96,109.25,0.0,315.34,0.0,
1960-01-29,0.0,25.01,0.0,0.0,0.0,
1960-01-30,0.0,42.11,0.0,0.0,0.0,
1960-01-31,77.2,31.46,0.0,76.93,77.77,
1960-02-01,79.83,103.35,362.52,119.33,0.0,
1960-02-02,111.51,116.29,126.59,166.68,0.0,
1960-02-03,153.55,136.67,130.74,172.14,116.02,
