date,finance,energy,telecom,transport,trade,health,housing,agriculture,finance_regulation,energy_regulation,telecom_regulation,transport_regulation,trade_regulation,health_regulation,housing_regulation,agriculture_regulation
1960-01-01,443.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.94,1034.92,760.84,331.85,0.0,0.0,0.0
1960-01-02,0.0,0.0,0.0,939.36,0.0,0.0,0.0,0.0,0.0,0.0,436.61,0.0,0.0,0.0,0.0,0.0
1960-01-03,0.0,148.66,0.0,235.76,0.0,0.0,0.0,404.07,0.0,64.55,146.11,145.01,184.47,0.0,174.74,143.47
1960-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.04,0.0,0.0,0.0,0.0,0.0,303.8,0.0
1960-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.56,0.0
1960-01-06,0.0,0.0,330.98,0.0,0.0,0.0,1126.45,2597.56,0.0,0.0,0.0,517.88,169.41,0.0,224.66,307.44
1960-01-07,0.0,0.0,527.5,357.85,0.0,0.0,0.0,0.0,192.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.63,268.95,273.95,422.94,0.0,0.0,0.0,0.0
1960-01-09,352.07,0.0,0.0,0.0,0.0,0.0,0.0,1515.25,90.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.21,0.0,0.0,149.15,204.1
1960-01-11,573.05,504.11,0.0,0.0,227.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.9,0.0,259.47
1960-01-12,0.0,0.0,0.0,0.0,257.44,0.0,807.52,620.7,0.0,0.0,0.0,111.38,242.89,0.0,214.74,0.0
1960-01-13,0.0,314.16,0.0,0.0,236.11,0.0,0.0,0.0,68.09,121.25,205.84,0.0,0.0,0.0,0.0,0.0
1960-01-14,0.0,0.0,0.0,0.0,667.74,0.0,0.0,0.0,168.51,0.0,291.07,144.44,0.0,0.0,208.87,285.82
1960-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.4,425.91,0.0,0.0,0.0
1960-01-16,0.0,0.0,584.95,595.24,0.0,0.0,0.0,1530.25,122.03,0.0,0.0,183.05,0.0,149.09,0.0,0.0
1960-01-17,0.0,0.0,0.0,192.07,273.07,0.0,0.0,0.0,0.0,0.0,0.0,78.76,150.29,0.0,0.0,0.0
1960-01-18,382.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.12,0.0,0.0,196.68,0.0,0.0,0.0,518.93
1960-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.54,165.24,0.0,219.14,0.0
1960-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.71,0.0,0.0,154.07,168.0,0.0,0.0,406.5
1960-01-21,204.62,0.0,0.0,513.84,0.0,0.0,0.0,0.0,0.0,187.57,0.0,158.02,172.31,0.0,0.0,416.92
1960-01-22,178.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.98,0.0,0.0,0.0,150.45,149.84,0.0,0.0
1960-01-23,0.0,580.24,0.0,0.0,0.0,0.0,0.0,0.0,157.21,167.96,380.18,0.0,205.71,153.66,0.0,0.0
1960-01-24,0.0,0.0,0.0,0.0,0.0,0.0,337.23,388.82,0.0,0.0,0.0,139.53,0.0,0.0,134.51,0.0
1960-01-25,0.0,0.0,0.0,0.0,502.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-26,412.77,0.0,0.0,0.0,0.0,0.0,0.0,1776.49,79.69,0.0,0.0,159.38,0.0,0.0,230.47,420.52
1960-01-27,256.51,0.0,0.0,429.42,0.0,0.0,0.0,0.0,0.0,156.76,0.0,0.0,288.0,143.41,0.0,0.0
1960-01-28,0.0,0.0,0.0,1624.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.56,0.0,542.65,0.0,0.0
1960-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.86,154.07,0.0,0.0,0.0,406.5
1960-01-31,0.0,0.0,0.0,440.43,0.0,0.0,491.02,0.0,33.86,60.29,0.0,135.45,0.0,0.0,97.93,0.0
1960-02-01,0.0,0.0,0.0,0.0,485.63,0.0,0.0,0.0,105.04,0.0,423.38,0.0,0.0,171.12,0.0,0.0
