n_month,year,GPRC_ARG,GPRC_AUS,GPRC_BEL,GPRC_BRA,GPRC_CAN,GPRC_CHE,GPRC_CHL,GPRC_CHN,GPRC_COL,GPRC_DEU,GPRC_DNK,GPRC_ESP,GPRC_FIN,GPRC_FRA,GPRC_GBR,GPRC_HKG,GPRC_IDN,GPRC_IND,GPRC_ISR,GPRC_ITA,GPRC_JPN,GPRC_KOR,GPRC_MEX,GPRC_MYS,GPRC_NLD,GPRC_NOR,GPRC_PER,GPRC_PHL,GPRC_PRT,GPRC_RUS,GPRC_SAU,GPRC_SWE,GPRC_THA,GPRC_TUR,GPRC_TWN,GPRC_UKR,GPRC_USA,GPRC_VEN,GPRC_ZAF
1,1900,.025893319,.077679962,.09062662,.01294666,.09062662,.038839981,.01294666,.23303987,.025893319,.53081304,.01294666,.55670637,.025893319,.6732263,1.5406525,0,0,.27187985,0,.051786639,.09062662,.01294666,.064733297,0,.24598654,.01294666,.01294666,.88037288,.24598654,.25893319,0,.01294666,.077679962,.038839981,0,0,2.7187986,.051786639,1.1522527
2,1900,.013941168,.15335286,.15335286,.027882336,.097588181,.083647013,.013941168,.097588181,0,.64129376,.027882336,.39035273,0,.96194059,1.8820577,0,0,.39035273,.013941168,.19517636,.041823506,0,.097588181,0,.30670571,.013941168,.013941168,.47399971,.13941169,.33458805,0,0,.083647013,.12547052,0,0,2.7324691,.027882336,1.1431758
3,1900,.012883278,.12883277,.10306622,.012883278,.18036589,.025766555,0,.14171605,.012883278,.46379799,0,.38649833,0,.54109764,1.3527441,0,0,.2834321,.038649831,.18036589,.10306622,.064416386,.05153311,0,.20613244,.025766555,.012883278,.3478485,.05153311,.38649833,0,.012883278,.1159495,.18036589,0,0,2.1515074,.025766555,.86317956
4,1900,0,.080128208,.026709402,0,.080128208,.013354701,0,.10683761,.053418804,.21367522,.040064104,.29380342,.026709402,.38728634,1.1217948,0,0,.1201923,0,.093482904,.14690171,.026709402,.053418804,0,.040064104,.013354701,.026709402,.33386752,.080128208,.26709402,0,0,.040064104,.066773504,0,0,1.7761753,0,.64102566
5,1900,0,.12228261,.027173912,.054347824,.25815219,.013586956,.027173912,.10869565,.054347824,.40760869,.027173912,.25815219,0,.48913044,1.1141304,0,0,.2173913,0,.12228261,.067934781,0,.067934781,0,.19021739,.027173912,0,.48913044,.081521742,.17663044,0,0,.16304348,.081521742,0,0,1.9701087,.013586956,.7880435
6,1900,0,.068549491,.12338909,0,.054839592,.027419796,.013709898,1.4943789,.054839592,.6854949,.054839592,.13709898,0,.9871127,1.6040581,0,0,.30161777,0,.20564848,.72662461,.041129697,.054839592,0,.13709898,.027419796,.027419796,.53468603,.068549491,.94598299,0,.013709898,.082259394,.10967918,.027419796,0,2.7282698,.027419796,.67178506
7,1900,.026553372,.066383429,.092936806,.039830059,.079660118,.066383429,.053106744,2.8013809,.053106744,1.101965,.039830059,.47796071,.013276686,1.2081784,1.8189059,.013276686,.013276686,.62400424,.013276686,.27881041,1.0355815,.066383429,.11949018,0,.092936806,.013276686,0,.62400424,.039830059,1.0355815,0,.013276686,.25225705,.14604355,.039830059,0,3.5448751,.026553372,.29208711
8,1900,0,.080982588,.13497098,0,.10797679,0,0,2.6454313,0,1.0662707,.013497098,.37791875,.013497098,1.0797678,1.9030908,.013497098,0,.25644487,.026994197,.44540423,1.2687272,.067485489,.080982588,0,.094479688,0,0,.53988391,.026994197,1.1067621,0,.040491294,.24294777,.080982588,.040491294,0,3.5497367,.026994197,.24294777
9,1900,.054274086,.027137043,.040705562,.054274086,.040705562,.027137043,.067842603,.90909094,.054274086,.71913159,0,.46132973,.013568521,.54274082,.77340567,0,0,.12211669,.027137043,.24423338,.29850745,.013568521,.12211669,0,.027137043,.013568521,.027137043,.40705562,.094979644,.78697419,0,0,.13568521,.040705562,.013568521,0,2.008141,.013568521,.17639077
10,1900,0,.054892275,.10978455,0,.041169204,0,0,.4391382,.013723069,.31563058,0,.27446136,.027446138,.27446136,.45286125,.027446138,0,.12350762,0,.054892275,.06861534,.013723069,.041169204,0,.054892275,.013723069,.041169204,.41169205,.013723069,.17839989,0,.013723069,.06861534,.027446138,0,0,1.2625223,0,.20584603
11,1900,.027326137,.013663068,.027326137,.027326137,.040989205,.027326137,.040989205,.45088127,.040989205,.46454433,0,.32791364,.013663068,.42355514,.60117501,0,0,.08197841,0,.16395682,.08197841,0,.027326137,0,.08197841,0,.040989205,.34157673,.027326137,.20494603,0,.013663068,.068315342,.040989205,0,0,1.598579,0,.28692445
12,1900,.026164312,.065410778,.039246466,.026164312,.065410778,.039246466,.039246466,.3270539,.078492932,.36630037,.013082156,.24856097,.013082156,.39246467,.91575092,0,0,.15698586,0,.10465725,.1177394,.026164312,.026164312,0,.17006803,.013082156,.026164312,.19623233,.065410778,.14390372,0,.026164312,.091575094,.091575094,0,0,1.6091052,.078492932,.40554684
1,1901,.014594279,0,.072971396,0,.058377117,0,0,.32107413,.043782838,.13134851,.087565675,.2772913,0,.36485699,.52539402,0,0,.24810274,.014594279,.058377117,.10215995,0,.029188558,0,.087565675,0,.043782838,.24810274,.029188558,.14594279,0,.014594279,.13134851,.014594279,0,0,1.4448336,.16053706,.23350847
2,1901,0,.10822511,.061842918,.030921459,.10822511,0,.01546073,.32467532,.01546073,.35559678,.046382189,.40197897,.01546073,.44836116,.72665429,0,0,.17006803,0,.13914657,.092764378,.01546073,.061842918,0,.17006803,.01546073,0,.37105751,.030921459,.24737167,0,.01546073,.092764378,.092764378,.01546073,0,1.6542981,.061842918,.27829313
3,1901,0,.01429184,.042875517,0,.042875517,.042875517,0,.58596539,.01429184,.34300414,0,.27154493,0,.31442046,.78605115,0,0,.15721023,0,.042875517,.38587967,.14291839,.028583679,0,.028583679,0,0,.38587967,0,.6145491,0,.01429184,.01429184,.11433472,0,0,1.686437,0,.28583679
4,1901,.0145624,.072811998,.0291248,.0145624,.087374397,0,0,.34949759,.0291248,.29124799,.0291248,.2621232,.0291248,.2475608,.4951216,0,0,.2766856,0,.1019368,.145624,.043687198,.0145624,0,.0582496,0,0,.2475608,.043687198,.2329984,0,.0145624,.0145624,.043687198,0,0,1.2960536,.0145624,.1601864
5,1901,.014345144,.028690288,.014345144,.014345144,.043035433,.014345144,.014345144,.15779659,.028690288,.20083202,.014345144,.17214173,0,.15779659,.41600919,0,0,.071725719,.014345144,.11476115,.10041601,.028690288,.057380576,0,.028690288,.028690288,.014345144,.24386746,0,.15779659,0,.014345144,.028690288,.057380576,0,0,1.2336824,.014345144,.10041601
6,1901,0,.041276831,0,.013758943,.041276831,0,0,.19262521,0,.27517888,.013758943,.096312605,0,.26141992,.37149146,0,0,.23390204,0,.096312605,.096312605,.013758943,.041276831,0,.055035774,0,0,.06879472,0,.22014309,0,.013758943,.027517887,.013758943,0,0,1.0731976,.027517887,.20638415
7,1901,.029218407,.014609204,.043827612,.014609204,.043827612,0,.029218407,.11687363,.029218407,.32140249,.058436815,.29218408,0,.20452885,.42366692,0,0,.087655224,.014609204,.10226443,.043827612,.014609204,.073046021,0,.11687363,.014609204,0,.16070125,.014609204,.073046021,0,.014609204,.014609204,.029218407,0,0,1.2125639,.029218407,.27757487
8,1901,.014985763,.014985763,.10490035,.059943054,.19481492,.044957291,.014985763,.35965833,.77925968,.3746441,.059943054,.26974374,.014985763,.46455866,.71931666,0,0,.07492882,0,.25475797,.014985763,0,.10490035,0,.089914583,.014985763,.044957291,.13487187,.059943054,.23977222,0,.014985763,.044957291,.17982917,0,0,2.023078,.62940204,.26974374
9,1901,0,0,.062412232,.07801529,.10922141,.015603058,0,.20283976,.32766423,.24964893,.015603058,.26525199,0,.32766423,.48369479,0,0,.093618348,0,.10922141,.062412232,0,.046809174,0,.062412232,.015603058,.015603058,.14042753,0,.12482446,0,0,.031206116,.093618348,0,0,1.4354813,.24964893,.1872367
10,1901,.015060241,.060240965,.030120483,.015060241,.030120483,0,.030120483,.15060242,.16566265,.30120483,.015060241,.24096386,0,.33132529,.48192772,0,0,.18072289,0,.15060242,.060240965,.015060241,.045180723,0,.045180723,.030120483,.030120483,.34638554,.045180723,.21084337,0,.045180723,.030120483,.090361446,0,0,1.2650602,.18072289,.18072289
11,1901,.028304556,.014152278,.042456836,.056609113,.056609113,.014152278,.028304556,.099065952,.18397962,.39626381,.042456836,.21228418,0,.41041607,.52363431,0,0,.15567507,.014152278,.12737051,.084913671,0,.056609113,0,.028304556,.014152278,.014152278,.36795923,.056609113,.15567507,0,0,.07076139,.15567507,0,0,1.4859892,.084913671,.21228418
12,1901,.32330614,.01405679,.028113579,.070283949,.098397523,.01405679,.35141975,.12651111,.1405679,.47793084,0,.33736295,0,.30924937,.82935059,.01405679,0,.18273826,0,.12651111,.028113579,.01405679,.098397523,0,.098397523,0,.042170368,.1405679,.01405679,.070283949,0,0,.01405679,.1405679,0,0,1.7711555,.32330614,.25302222
