DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT
19850101,265,208.38332,241.56259,146.13344
19850102,376,110.14942,108.34105,73.566414
19850103,472,109.68269,147.95242,93.766006
19850104,509,162.7355,171.49692,130.42502
19850105,357,96.676437,81.505074,92.978058
19850106,561,147.65128,114.10711,167.64226
19850107,439,94.342102,39.768536,126.0181
19850108,457,83.074043,25.468107,181.58186
19850109,479,115.28513,97.193527,57.74733
19850110,556,136.56416,94.199921,159.19983
19850111,549,88.012535,95.401016,90.691704
19850112,379,91.064606,30.709564,102.17773
19850113,571,78.57711,30.575108,106.57467
19850114,468,199.11627,149.21698,177.31392
19850115,467,110.85703,112.15238,130.30864
19850116,490,119.74067,130.64099,79.031349
19850117,578,53.740723,60.409645,57.42762
19850118,514,120.86434,101.89719,150.68233
19850119,403,77.077263,28.880707,109.82023
19850120,571,66.488327,40.766811,77.50885
19850121,457,120.83497,165.54269,48.421833
19850122,400,51.770229,58.194622,41.491455
19850123,483,135.76733,144.58292,137.44582
19850124,556,62.074619,62.799953,79.599915
19850125,576,77.89502,50.516167,96.045044
19850126,373,55.51767,31.203552,44.494858
19850127,593,58.201492,39.254383,65.304146
19850128,470,102.80614,49.527336,94.165001
19850129,424,89.539711,123.52632,52.190514
19850130,498,27.721676,23.371334,44.435291
19850131,557,111.53371,104.47868,109.25339
19850201,528,98.049683,99.195381,62.865845
19850202,419,107.08242,83.333588,118.82994
19850203,618,106.10943,84.749451,125.32478
19850204,494,104.79803,106.02259,134.38528
19850205,409,151.8931,128.05663,216.41837
19850206,490,126.78423,35.62936,158.0627
19850207,577,131.59389,90.771507,182.16931
19850208,556,142.77161,115.13325,198.9998
19850209,397,113.01646,117.26875,97.544991
19850210,631,120.33228,73.780823,140.27751
19850211,503,123.50751,92.556053,142.97917
19850212,456,136.23744,127.61979,133.45204
19850213,510,115.04496,125.51781,108.4744
19850214,572,72.405914,71.217194,38.686672
19850215,533,97.129883,76.428207,51.896755
19850216,392,70.435684,59.382267,42.338223
19850217,576,71.903099,50.516167,76.836029
19850218,405,119.30588,114.95235,81.958427
19850219,442,85.893295,92.163437,100.13022
19850220,447,77.21138,52.075726,86.633911
19850221,525,85.461967,133.01628,42.150051
19850222,538,153.96352,108.16844,195.37489
19850223,388,195.69502,104.9903,171.09879
19850224,631,76.575089,64.558212,61.371407
19850225,517,100.13584,101.30592,85.604553
19850226,422,139.03539,137.90196,144.2041
19850227,539,121.66164,53.983879,123.16573
19850228,567,127.82773,123.16322,126.84043
19850301,559,142.0054,135.33633,138.55226
19850302,374,147.65128,77.800293,162.71159
19850303,609,73.67411,28.667301,109.00875
19850304,522,92.564911,100.33556,84.784584
19850305,462,149.40904,100.76991,167.64226
19850306,496,173.95911,164.25902,133.8434
19850307,580,136.86382,110.36912,123.99746
19850308,536,96.58625,130.28647,61.927547
19850309,371,74.422607,94.115288,74.557869
19850310,639,108.02344,91.071404,112.54855
19850311,506,122.77525,126.51006,76.532333
19850312,476,217.52199,268.96674,104.60031
19850313,527,183.37335,209.80984,167.96036
19850314,610,181.05435,228.96245,126.96838
19850315,529,150.05864,99.007866,209.15669
19850316,388,177.90457,119.98891,213.87347
19850317,645,42.807426,27.067266,25.731136
19850318,484,106.96328,96.189453,125.73169
19850319,468,140.11887,124.34749,153.67206
19850320,549,144.59203,106.00113,110.84541
19850321,559,98.786362,72.873405,158.34544
19850322,528,98.049683,88.173676,52.388203
19850323,384,107.85464,106.08395,86.440536
19850324,334,51.666893,17.42354,99.380737
19850325,564,67.313538,103.18196,39.23542
19850326,470,117.49271,111.43652,70.623756
19850327,560,110.93621,51.959488,148.18378
19850328,589,128.91286,108.68266,122.10276
19850329,611,107.32508,28.573465,162.97789
19850330,404,128.14413,115.23688,109.5484
19850331,608,68.118721,47.857422,63.693024
19850401,505,75.177895,69.142128,76.683876
19850402,508,74.733932,80.189438,108.90146
19850403,572,90.507401,81.391083,125.73169
19850404,601,137.82423,116.19558,147.27971
19850405,526,104.98399,99.572548,94.65731
19850406,356,174.50639,81.734024,186.47845
19850407,572,54.30444,71.217194,48.358341
19850408,490,147.91495,71.25872,203.22345
19850409,490,126.78423,106.88808,124.19212
19850410,519,93.09996,100.91553,85.274673
19850411,593,110.58285,78.508766,102.6208
19850412,648,69.240013,53.883911,102.44804
19850413,405,51.131092,71.845215,54.638958
19850414,677,56.078041,68.767647,40.858154
19850415,464,37.191257,37.625835,35.768497
19850416,523,125.3836,100.14371,126.93371
19850417,567,109.56663,123.16322,97.569565
19850418,617,89.50013,84.886803,71.730232
19850419,641,43.074554,45.39362,34.522274
19850420,400,94.912086,72.743279,110.64388
19850421,611,45.18951,47.62244,63.380291
19850422,509,54.245167,91.465027,43.475006
19850423,506,115.95441,92.007309,142.13147
19850424,550,106.67805,52.904202,130.76096
19850425,591,122.63676,59.080833,149.77174
19850426,672,66.767166,60.6194,65.859459
19850427,405,85.218483,57.476173,136.59738
19850428,655,47.423111,44.423378,42.230492
19850429,519,73.149971,0,117.25267
19850430,522,105.78846,66.890373,105.98073
19850501,541,95.693588,64.541168,122.7104
19850502,603,154.53799,77.206795,201.83794
19850503,659,115.21953,70.645973,151.10696
19850504,429,104.58633,94.956253,77.373344
19850505,706,97.771919,90.671509,133.21149
19850506,507,102.11091,34.434689,130.93951
19850507,537,128.54185,119.20686,144.22853
19850508,559,104.96051,104.10487,128.65569
19850509,636,108.53298,82.350883,113.07944
19850510,648,90.54464,53.883911,119.52271
19850511,432,55.924629,40.412933,128.06004
19850512,647,74.681419,62.961723,94.055847
19850513,472,80.433975,73.976212,70.324501
19850514,536,115.9035,76.000443,154.81888
19850515,589,99.614479,98.802414,93.925201
19850516,671,87.441025,34.69128,131.91521
19850517,637,140.87137,137.036,147.64098
19850518,402,103.02533,115.81019,110.09341
19850519,695,94.353416,66.986618,127.35986
19850520,509,108.49033,114.33128,108.68751
19850521,505,129.85272,126.76057,142.41292
19850522,518,119.93104,134.8138,96.119202
19850523,626,115.78006,74.370125,150.23531
19850524,608,96.501526,86.143356,100.08904
19850525,397,86.935738,87.951569,83.609985
19850526,622,88.78067,74.848389,62.259418
19850527,413,108.63809,56.362835,107.16115
19850528,448,123.26246,155.87845,61.74324
19850529,579,77.491417,80.407082,95.547394
19850530,630,82.174973,64.66069,79.031349
19850531,625,99.398842,74.489113,123.92114
19850601,400,77.65535,72.743279,55.321941
