DATES,LUS_IP,LUS_SP500,LUS_OIL_WTI,LUS_EMP_TPI,EPU,VXO,US_YLD_10Y,LGPR,LGPRA,LGPRT
1/1/1985,402.7845,48.6529,-141.399,1129.0232,103.7488022,,11.38,462.6671,449.5885,467.8181
2/1/1985,403.1268,53.4421,-135.5271,1129.1705,78.3132019,,11.51,476.3045,457.0596,483.9789
3/1/1985,403.288,52.2524,-132.0481,1129.5354,100.7614822,,11.86,482.6538,476.2065,484.4745
4/1/1985,403.0149,52.4494,-131.1271,1129.7353,84.77886963,,11.43,447.653,430.0786,455.0082
5/1/1985,403.1561,54.4182,-135.679,1130.0202,98.05365753,,10.85,463.7278,452.4792,471.0968
6/1/1985,403.2293,56.2723,-137.732,1130.1723,119.5971451,,10.16,500.2488,515.9881,490.2729
7/1/1985,402.5769,58.005,-137.2993,1130.255,111.4151077,,10.31,489.7134,500.758,483.8668
8/1/1985,402.9904,55.5939,-135.8732,1130.4929,111.2470093,,10.33,441.6236,444.1233,432.1
9/1/1985,403.4211,53.0359,-134.3546,1130.7217,111.1844635,,10.37,462.9223,452.7061,462.0743
10/1/1985,403.0069,53.8124,-130.292,1130.9327,93.09910583,,10.24,466.3363,477.6863,451.4613
11/1/1985,403.3443,59.4115,-126.6271,1131.1653,85.09912872,,9.78,455.2278,438.3552,458.7601
12/1/1985,404.3854,63.9866,-139.123,1131.3437,104.1772156,,9.26,456.8726,471.1426,438.5827
1/1/1986,404.8483,64.1633,-156.1442,1131.4682,144.2664795,18.12136364,9.19,490.7943,511.2124,492.4847
2/1/1986,404.19,69.6642,-195.8107,1131.5547,118.9935379,20.62421053,8.7,459.2592,474.3328,443.1069
3/1/1986,403.4983,75.8635,-215.3634,1131.6655,120.1600494,23.564,7.78,459.1848,476.6959,444.4173
4/1/1986,403.5299,78.4464,-213.4292,1131.8807,102.477356,23.01545455,7.3,499.9331,520.8791,495.9296
5/1/1986,403.7462,78.3768,-195.5089,1132.0044,132.3861694,18.8875,7.71,476.5495,473.7971,484.1703
6/1/1986,403.4199,80.654,-209.3235,1131.9049,115.0522919,18.59809524,7.8,456.7409,438.2849,467.2299
7/1/1986,403.9783,78.5464,-224.8675,1132.2902,130.8210602,19.63909091,7.3,455.0733,443.0523,460.3249
8/1/1986,403.8445,80.3513,-198.5644,1132.4038,118.302597,18.63809524,7.17,463.8082,460.3621,465.1665
9/1/1986,404.0473,77.1104,-199.5369,1132.6885,125.8942184,22.7052381,7.45,476.3096,484.2185,466.6821
10/1/1986,404.5138,76.6358,-200.2076,1132.8426,91.82046509,22.52391304,7.43,457.2569,434.9062,469.1503
11/1/1986,404.9681,79.7526,-198.3703,1133.024,98.32894135,18.63157895,7.25,469.8413,449.3922,482.5521
12/1/1986,405.8066,81.0852,-191.92,1133.2458,87.97968292,19.75863636,7.11,449.707,435.8022,453.7574
1/1/1987,405.4996,86.6552,-178.5229,1133.4193,110.4333191,20.76666667,7.08,457.4121,464.9083,450.53
2/1/1987,406.7999,92.3199,-183.9522,1133.7178,76.96607208,23.44631579,7.25,461.198,449.1957,469.7968
3/1/1987,406.93,95.8975,-181.2342,1133.9762,99.05958557,21.83727273,7.25,449.5441,420.6088,465.9197
4/1/1987,407.5588,94.2812,-180.1312,1134.3204,79.53235626,26.88142857,8.02,473.0869,459.6396,476.3268
5/1/1987,408.2024,93.8554,-176.17,1134.5879,87.58505249,25.4115,8.61,459.1588,455.6349,457.8533
6/1/1987,408.6664,97.6574,-173.4368,1134.7768,106.5728531,21.62454545,8.4,454.5233,440.4637,460.3461
7/1/1987,409.3572,100.2411,-167.4716,1135.143,81.38941193,17.80090909,8.45,459.3826,448.0341,467.776
8/1/1987,410.1845,105.7445,-173.0301,1135.332,52.7901535,20.84904762,8.76,460.4855,447.2796,474.91
9/1/1987,410.4409,101.9196,-177.3176,1135.6412,59.86959457,22.89380952,9.42,479.717,458.0261,496.6001
10/1/1987,411.8891,88.7838,-175.9334,1136.0578,170.3220673,58.21954545,9.52,461.57,448.669,470.6833
11/1/1987,412.4124,75.2889,-180.2703,1136.2951,183.1025238,49.4365,8.86,456.5946,432.9203,470.7722
12/1/1987,412.9052,73.6206,-190.1119,1136.5747,149.0111389,41.76409091,8.99,469.9174,448.0386,482.4284
1/1/1988,412.9502,77.2364,-190.8419,1136.6604,142.8728485,38.3365,8.67,442.1266,428.9028,446.7526
2/1/1988,413.3836,79.9865,-193.3346,1137.165,102.0328903,33.674,8.21,445.6741,430.1672,450.191
3/1/1988,413.5835,82.4617,-197.1807,1137.4146,82.35363007,29.35695652,8.37,470.2356,469.4106,466.2892
4/1/1988,414.1481,80.7653,-187.9625,1137.6877,97.85680389,27.405,8.72,478.2902,485.58,473.564
5/1/1988,414.031,77.9223,-190.7809,1137.9177,99.12745667,25.71666667,9.09,465.2755,457.6299,466.8603
6/1/1988,414.2853,83.0263,-196.5535,1138.2942,88.28594971,25.27090909,8.92,437.8372,439.5392,430.4225
7/1/1988,414.3282,81.9982,-203.4234,1138.5728,80.83588409,23.644,9.06,442.4014,456.72,425.9747
8/1/1988,414.7447,79.5789,-203.6742,1138.6568,94.88969421,23.7073913,9.26,443.1461,453.5615,430.0153
9/1/1988,414.4705,80.5051,-211.3977,1138.939,85.35681152,19.52428571,8.98,431.5388,430.8754,428.956
10/1/1988,414.9657,83.6288,-216.4661,1139.1955,98.25379944,20.48190476,8.8,429.6608,418.7079,427.4005
11/1/1988,415.1241,81.222,-215.254,1139.4941,102.2340012,21.65904762,8.96,423.1181,435.1031,402.2832
12/1/1988,415.6118,83.0611,-200.259,1139.821,77.82810211,17.75428571,9.11,450.423,454.7373,441.0125
1/1/1989,415.9122,85.7322,-190.7171,1140.0731,87.42640686,17.75809524,9.09,449.1403,441.661,448.9706
2/1/1989,415.4564,88.288,-192.0061,1140.3278,51.35064316,18.31263158,9.17,451.7634,451.9335,448.2296
3/1/1989,415.6836,87.2716,-183.8864,1140.5329,72.52325439,17.47545455,9.36,447.4307,453.3531,438.079
4/1/1989,415.7513,89.8259,-176.6572,1140.702,92.37982941,16.8875,9.18,442.5794,443.75,435.4583
5/1/1989,415.0857,93.0503,-182.1345,1140.7976,83.75286865,17.435,8.86,464.2741,438.5358,476.0039
6/1/1989,415.1335,95.8815,-182.4924,1140.8842,95.78630829,16.73227273,8.28,449.3809,422.6639,458.1686
7/1/1989,414.2108,98.1404,-184.5773,1140.9386,78.2565918,18.0565,8.02,443.9743,436.7325,443.4691
8/1/1989,415.1304,102.3085,-190.4522,1140.9019,83.10930634,19.32347826,8.11,469.2973,474.655,475.3222
9/1/1989,414.7813,102.196,-185.309,1141.1358,74.69548035,16.7465,8.19,444.9052,448.8004,437.4745
10/1/1989,414.7161,101.7363,-183.2835,1141.2475,76.44955444,21.95090909,8.01,424.1682,416.7215,422.1801
11/1/1989,415.0435,99.4102,-184.8774,1141.5258,105.0474854,20.93238095,7.87,453.0756,472.3154,427.3184
12/1/1989,415.6485,101.677,-178.8395,1141.5985,103.7966843,18.235,7.84,472.3429,485.713,462.0305
1/1/1990,414.9824,98.1531,-172.6269,1141.9142,92.32149506,23.49909091,8.21,440.1143,439.1062,433.0884
2/1/1990,415.958,94.8439,-175.634,1142.1446,110.4462738,23.32684211,8.47,434.908,418.0355,439.5792
3/1/1990,416.4461,96.6937,-184.1058,1142.2454,104.4614105,18.83136364,8.59,421.3489,408.9715,422.225
4/1/1990,416.2941,96.4535,-193.6817,1142.2005,88.44817352,20.4575,8.79,440.2367,400.3556,458.4728
5/1/1990,416.5072,99.7286,-195.7894,1142.1249,97.38793182,18.15181818,8.76,445.907,420.2358,458.3094
6/1/1990,416.8278,102.0413,-204.1143,1142.1906,100.8643417,17.58285714,8.48,437.8033,439.0154,428.8353
7/1/1990,416.6983,101.5583,-194.5399,1142.1512,86.28017426,18.93285714,8.47,445.1872,440.4853,441.1212
8/1/1990,417.0265,92.1585,-157.7494,1142.0361,139.3226929,27.77521739,8.75,552.3263,485.3983,586.8628
9/1/1990,417.153,86.5772,-137.0984,1141.9504,165.938446,28.81894737,8.89,523.9949,467.2406,556.8816
10/1/1990,416.3985,83.3153,-131.2759,1141.7779,137.6742401,30.13043478,8.72,496.8789,465.4984,515.2981
11/1/1990,415.2225,85.715,-142.1279,1141.6018,152.4486084,25.10666667,8.39,506.729,474.8435,530.4205
12/1/1990,414.5662,89.895,-158.8111,1141.5291,134.0615387,22.5845,8.08,503.1499,463.6507,527.1195
1/1/1991,414.1311,88.301,-168.5069,1141.4,204.0105438,26.93181818,8.09,593.8195,617.3194,588.6195
2/1/1991,413.4306,98.8579,-188.2264,1141.0361,106.5180588,22.11263158,7.85,582.7055,619.4964,553.6513
3/1/1991,412.9051,101.4369,-191.6567,1140.852,107.9374847,19.04105263,8.11,500.1381,514.3973,489.7709
4/1/1991,413.1022,103.2571,-187.071,1140.622,93.01464081,18.92727273,8.04,458.2516,448.3065,461.289
5/1/1991,414.0982,102.5166,-185.3845,1140.4794,82.14782715,17.18045455,8.07,448.3782,437.0304,455.868
6/1/1991,415.005,102.3014,-190.722,1140.504,85.91903687,17.575,8.28,447.4308,424.1162,460.3157
7/1/1991,415.1241,102.6644,-184.9821,1140.4159,80.64899445,17.66954545,8.27,474.6537,443.9484,497.4324
8/1/1991,415.2097,104.7558,-184.0289,1140.4705,99.12208557,15.93272727,7.9,473.1759,446.9869,489.3462
9/1/1991,416.0958,103.7498,-183.6918,1140.5262,127.2944412,17.029,7.65,477.0195,431.4773,503.7885
10/1/1991,415.9216,103.5227,-177.7545,1140.4939,108.1209641,16.84636364,7.53,461.3454,435.6151,480.9289
11/1/1991,415.807,102.9825,-181.3845,1140.388,140.6123657,17.6815,7.42,461.2566,435.1336,479.024
12/1/1991,415.4085,103.5791,-195.526,1140.4081,171.0109711,18.01857143,7.09,464.4098,407.3247,490.6996
1/1/1992,414.8476,110.289,-199.3034,1140.4014,116.3648529,17.49954545,7.03,463.4317,424.0703,483.7523
2/1/1992,415.5614,109.0783,-198.7402,1140.3356,154.5969238,17.05052632,7.34,446.8244,414.0918,461.607
3/1/1992,416.3889,107.3079,-199.6506,1140.3668,96.82842255,16.22272727,7.54,444.6143,398.3274,467.4039
4/1/1992,417.1442,107.1747,-193.0239,1140.5118,89.85423279,16.18857143,7.48,445.2667,430.9473,452.8734
5/1/1992,417.4698,108.8334,-189.7836,1140.6409,78.68047333,14.728,7.39,436.9045,403.3096,453.3484
6/1/1992,417.484,106.8869,-183.5126,1140.7043,122.2935028,14.75318182,7.26,454.1688,390.6609,482.2989
7/1/1992,418.3838,108.3195,-186.5176,1140.7298,119.6131821,13.30363636,6.84,432.0108,394.4354,452.6439
8/1/1992,417.8905,108.7256,-188.6999,1140.8032,122.4071198,14.42238095,6.59,440.2383,425.0772,447.2288
9/1/1992,418.1226,108.5737,-186.429,1140.9008,141.4432373,14.25857143,6.42,431.2271,382.2945,452.9253
10/1/1992,418.8698,106.7825,-187.765,1141.1015,161.2542267,17.47863636,6.59,422.2192,407.742,426.7405
11/1/1992,419.2943,109.1176,-194.3134,1141.2342,108.1500702,14.594,6.87,451.0958,422.7664,469.7047
12/1/1992,419.3845,112.1693,-198.9506,1141.4397,87.8720932,12.78136364,6.77,442.39,410.8994,457.7738
1/1/1993,419.8168,111.5829,-201.1665,1141.7438,83.46498108,12.5745,6.6,485.9177,474.3433,497.5999
2/1/1993,420.2592,112.7097,-196.5183,1142.0174,106.97612,13.50526316,6.26,450.4997,416.8793,465.6443
3/1/1993,420.1192,114.2559,-195.41,1141.957,109.796814,13.6573913,5.98,454.586,438.5622,460.4317
4/1/1993,420.4692,112.3932,-196.0671,1142.2541,89.65112305,13.49952381,5.97,472.4922,428.6533,497.0084
5/1/1993,420.1215,112.7429,-197.8473,1142.5372,133.5057526,13.535,6.04,470.7093,435.5219,492.2797
6/1/1993,420.2871,113.2339,-202.4447,1142.715,120.6800613,13.00227273,5.96,464.6266,429.4999,483.2019
7/1/1993,420.5953,113.0612,-208.9677,1142.949,106.5029907,11.99952381,5.81,481.474,467.3596,488.097
