yq,Dollarpeg_Argentina,TradeUS_Argentina,Vuln_Argentina,Dollarpeg_Australia,TradeUS_Australia,Vuln_Australia,Dollarpeg_Austria,TradeUS_Austria,Vuln_Austria,Dollarpeg_Belgium,TradeUS_Belgium,Vuln_Belgium,Dollarpeg_Botswana,TradeUS_Botswana,Vuln_Botswana,Dollarpeg_Brazil,TradeUS_Brazil,Vuln_Brazil,Dollarpeg_Canada,TradeUS_Canada,Vuln_Canada,Dollarpeg_Chile,TradeUS_Chile,Vuln_Chile,Dollarpeg_China,TradeUS_China,Vuln_China,Dollarpeg_Colombia,TradeUS_Colombia,Vuln_Colombia,Dollarpeg_CzechRepublic,TradeUS_CzechRepublic,Vuln_CzechRepublic,Dollarpeg_Denmark,TradeUS_Denmark,Vuln_Denmark,Dollarpeg_Ecuador,TradeUS_Ecuador,Vuln_Ecuador,Dollarpeg_ElSalvador,TradeUS_ElSalvador,Vuln_ElSalvador,Dollarpeg_Finland,TradeUS_Finland,Vuln_Finland,Dollarpeg_France,TradeUS_France,Vuln_France,Dollarpeg_Germany,TradeUS_Germany,Vuln_Germany,Dollarpeg_Greece,TradeUS_Greece,Vuln_Greece,Dollarpeg_HongKong,TradeUS_HongKong,Vuln_HongKong,Dollarpeg_Hungary,TradeUS_Hungary,Vuln_Hungary,Dollarpeg_Iceland,TradeUS_Iceland,Vuln_Iceland,Dollarpeg_India,TradeUS_India,Vuln_India,Dollarpeg_Indonesia,TradeUS_Indonesia,Vuln_Indonesia,Dollarpeg_Ireland,TradeUS_Ireland,Vuln_Ireland,Dollarpeg_Israel,TradeUS_Israel,Vuln_Israel,Dollarpeg_Italy,TradeUS_Italy,Vuln_Italy,Dollarpeg_Japan,TradeUS_Japan,Vuln_Japan,Dollarpeg_Jordan,TradeUS_Jordan,Vuln_Jordan,Dollarpeg_Korea,TradeUS_Korea,Vuln_Korea,Dollarpeg_Luxembourg,TradeUS_Luxembourg,Vuln_Luxembourg,Dollarpeg_Malaysia,TradeUS_Malaysia,Vuln_Malaysia,Dollarpeg_Mexico,TradeUS_Mexico,Vuln_Mexico,Dollarpeg_Netherlands,TradeUS_Netherlands,Vuln_Netherlands,Dollarpeg_NewZealand,TradeUS_NewZealand,Vuln_NewZealand,Dollarpeg_Norway,TradeUS_Norway,Vuln_Norway,Dollarpeg_Peru,TradeUS_Peru,Vuln_Peru,Dollarpeg_Philippines,TradeUS_Philippines,Vuln_Philippines,Dollarpeg_Poland,TradeUS_Poland,Vuln_Poland,Dollarpeg_Portugal,TradeUS_Portugal,Vuln_Portugal,Dollarpeg_Singapore,TradeUS_Singapore,Vuln_Singapore,Dollarpeg_SouthAfrica,TradeUS_SouthAfrica,Vuln_SouthAfrica,Dollarpeg_Spain,TradeUS_Spain,Vuln_Spain,Dollarpeg_Sweden,TradeUS_Sweden,Vuln_Sweden,Dollarpeg_Switzerland,TradeUS_Switzerland,Vuln_Switzerland,Dollarpeg_Taiwan,TradeUS_Taiwan,Vuln_Taiwan,Dollarpeg_Thailand,TradeUS_Thailand,Vuln_Thailand,Dollarpeg_Turkey,TradeUS_Turkey,Vuln_Turkey,Dollarpeg_UK,TradeUS_UK,Vuln_UK,Dollarpeg_US,TradeUS_US,Vuln_US,Dollarpeg_Venezuela,TradeUS_Venezuela,Vuln_Venezuela,quarter
1965,.2218349,.3217454,.6373674,.9108236,.5321437,.4148568,.9108236,.4114263,.4333142,.9108236,.6719246,.2422606,.5886949,.274344,.5201361,.122158,.3471707,.8078573,.9108236,.9550672,.4034003,.1427218,.4281415,.7831844,.122158,.2694943,.3646317,.3085751,.5208982,.5580292,.5,.4114263,.3390988,.9108236,.5078573,.4810299,.5886949,.627473,.48661,.5886949,.6033327,.4281558,.9108236,.4332783,.5060788,.9108236,.4174669,.4484726,.9108236,.4770059,.4126444,.9108236,.4892754,.4410663,.5886949,.7836301,.4230417,.5,.4322181,.3581778,.9108236,.7267335,.5714082,.5886949,.2896346,.4956403,.122158,.3537625,.8180034,.9108236,.5319929,.4680758,.5886949,.4517478,.5432212,.9108236,.4680511,.4693106,.9108236,.5784606,.4603016,.5886949,.6469821,.3076814,.5,.4960272,.6160072,.9108236,.576358,.8830451,.5886949,.4399575,.402347,.5886949,.4898277,.4512296,.9108236,.6655621,.4409457,.9108236,.5199193,.492099,.9108236,.5151066,.4609186,.5886949,.5751078,.4833494,.5886949,.6528656,.4766946,.5,.4114263,.3561917,.9108236,.4960807,.408205,.5886949,.4438317,.5124885,.5886949,.4029293,.4733785,.9108236,.450266,.4985553,.9108236,.4620533,.4449826,.9108236,.5576067,.4166185,.122158,.4438317,.4249335,.5886949,.3390217,.4355426,.5886949,.3238368,.4555036,.9108236,.4800608,.4326971,0,0,0,.5886949,.693261,.4349472,1965q1
1965.25,.254317,.3217454,.6386808,.9108236,.5341632,.4190131,.9108236,.4114263,.4344491,.9108236,.6706741,.2452356,.5886949,.274344,.5217922,.122158,.3471707,.8078573,.9108236,.9557671,.4058559,.122158,.4294366,.7930143,.122158,.2694943,.3646317,.3085751,.5157922,.5514016,.5,.4114263,.3390988,.9108236,.5077742,.4810299,.5886949,.6165642,.4867422,.5886949,.6033327,.4295487,.9108236,.4331379,.509088,.9108236,.4175811,.4466431,.9108236,.4770059,.4129759,.9108236,.4911768,.4411562,.5886949,.7892644,.4233183,.5,.4322181,.3581778,.9108236,.7233956,.5640121,.5886949,.2895198,.5000708,.122158,.3537625,.8180034,.9108236,.5320397,.4688982,.5886949,.4490593,.5434464,.9108236,.4664325,.467778,.9108236,.579041,.4597321,.5886949,.6469821,.3076814,.4776042,.4974244,.6248597,.9108236,.576358,.8842893,.5886949,.4399575,.4034453,.5886949,.4866415,.4527963,.9108236,.6629941,.4447365,.9108236,.5249707,.4927372,.9108236,.5130743,.4610092,.5886949,.5709015,.4898518,.5886949,.6498525,.4776272,.5,.4114263,.3561917,.9108236,.4955691,.4167011,.5886949,.4408269,.5126419,.5886949,.4031267,.4733785,.9108236,.451342,.5145653,.9108236,.4621309,.4457259,.9108236,.5574735,.4151787,.122158,.4408269,.4236031,.5886949,.3367898,.4332272,.5886949,.3203482,.4545886,.9108236,.4815056,.4332344,0,0,0,.5886949,.6991026,.4338517,1965q2
1965.5,.2897842,.3217454,.6435399,.9108236,.5361817,.4245386,.9108236,.4114263,.4338585,.9108236,.6694213,.2463851,.5886949,.274344,.5234479,.122158,.3471707,.8078573,.9108236,.9564565,.4075886,.122158,.4307328,.8072407,.122158,.2694943,.3646317,.3085751,.5106829,.5579963,.5,.4114263,.3390988,.9108236,.5076912,.4810299,.5886949,.6055366,.4868744,.5886949,.6033327,.4305565,.9108236,.4329975,.5099713,.9108236,.4176954,.4426544,.9108236,.4770059,.4142365,.9108236,.4930784,.4413361,.5886949,.7947903,.4235948,.5,.4322181,.3581778,.9108236,.7200326,.5574849,.5886949,.289405,.5034,.122158,.3537625,.8180034,.9108236,.5320866,.4697207,.5886949,.4463738,.5438703,.9108236,.4648146,.4667906,.9108236,.5796212,.4576102,.5886949,.6469821,.3076814,.4552981,.4988217,.6341746,.9108236,.576358,.8853483,.5886949,.4399575,.4031369,.5886949,.4834565,.454364,.9108236,.6604164,.4474064,.9108236,.530017,.4928739,.9108236,.5110416,.4591518,.5886949,.566685,.4963575,.5886949,.6468273,.4775939,.5,.4114263,.3561917,.9108236,.4950576,.425247,.5886949,.4368274,.5117214,.5886949,.403324,.4733785,.9108236,.4524184,.5234427,.9108236,.4622085,.4470892,.9108236,.5573403,.4141496,.122158,.4368274,.4226972,.5886949,.3345653,.4311968,.5886949,.3168795,.4566507,.9108236,.4829508,.432339,0,0,0,.5886949,.7048804,.4341402,1965q3
1965.75,.3280218,.3217454,.6456867,.9108236,.538199,.4286186,.9108236,.4114263,.4354259,.9108236,.6681661,.2487716,.5886949,.274344,.525103,.122158,.3471707,.8078573,.9108236,.9571358,.4090606,.122158,.4320298,.8121158,.122158,.2694943,.3646317,.3085751,.5055714,.5645706,.5,.4114263,.3390988,.9108236,.5076082,.4810299,.5886949,.5944007,.4870065,.5886949,.6033327,.4292543,.9108236,.4328572,.5090755,.9108236,.4178097,.4388319,.9108236,.4770059,.415764,.9108236,.4949802,.4412799,.5886949,.800208,.4238715,.5,.4322181,.3581778,.9108236,.7166446,.5547057,.5886949,.2892902,.5046013,.122158,.3537625,.8180034,.9108236,.5321335,.4705434,.5886949,.4436914,.5420616,.9108236,.4631975,.4649754,.9108236,.5802011,.4565869,.5886949,.6469821,.3076814,.4331698,.500219,.6392449,.9108236,.576358,.8865941,.5886949,.4399575,.4024369,.5886949,.4802727,.4559326,.9108236,.6578292,.4524615,.9108236,.5350571,.4928625,.9108236,.5090085,.4554858,.5886949,.5624587,.5028645,.5886949,.6437902,.4767346,.5,.4114263,.3561917,.9108236,.494546,.4279681,.5886949,.4312419,.5120949,.5886949,.4035214,.4733785,.9108236,.4534953,.5262169,.9108236,.462286,.4476641,.9108236,.557207,.4138178,.122158,.4312419,.4211539,.5886949,.332348,.4311968,.5886949,.313431,.4582603,.9108236,.4843963,.4332904,0,0,0,.5886949,.7105932,.4355772,1965q4
1966,.3686857,.3217454,.6490024,.9108236,.5388581,.4340737,.9108236,.4114263,.4378416,.9108236,.6671233,.2514566,.5886949,.274344,.5280502,.122158,.3471707,.8078573,.9108236,.9589003,.4109394,.122158,.4322384,.8121158,.122158,.2694943,.3646317,.3085751,.504085,.5799859,.5,.4114263,.3390988,.9108236,.5074962,.4810299,.5886949,.5818838,.4887295,.5886949,.6022679,.427561,.9108236,.4323646,.5063802,.9108236,.4179164,.4369286,.9108236,.4770059,.4181026,.9108236,.4965059,.4383256,.5886949,.8116954,.4229574,.5,.4322181,.3581778,.9108236,.7103308,.5545287,.5886949,.2903432,.5069149,.122158,.3537625,.8180034,.9108236,.5378616,.4691699,.5886949,.4397054,.5403777,.9108236,.4617165,.4631045,.9108236,.5812501,.4581631,.5886949,.6469821,.3076814,.4113051,.5024458,.637587,.9108236,.576358,.8883352,.5886949,.4399575,.4021416,.5886949,.4769984,.4579312,.9108236,.6566449,.4572209,.9108236,.5424525,.4936374,.9108236,.5068916,.4537563,.5886949,.5583434,.5043326,.5886949,.6391563,.4750698,.5,.4114263,.3561917,.9108236,.4938433,.4248681,.5886949,.4182327,.5128687,.5886949,.4024946,.4748763,.9108236,.4543839,.5204167,.9108236,.4628173,.4506872,.9108236,.559218,.4158098,.122158,.4182327,.4200413,.5886949,.331215,.4311968,.5886949,.3102948,.4621301,.9108236,.4870462,.4347911,0,0,0,.5886949,.7139129,.4374685,1966q1
1966.25,.4113051,.3217454,.6513707,.9108236,.5395301,.4381262,.9108236,.4114263,.4345772,.9108236,.6669908,.2538585,.5886949,.274344,.5311178,.122158,.3471707,.8078573,.9108236,.9607363,.4132207,.122158,.4335886,.7829395,.122158,.2694943,.3646317,.3085751,.5025027,.5882744,.5,.4114263,.3390988,.9108236,.5070952,.4810299,.5886949,.5673259,.4884054,.5886949,.6015576,.4254778,.9108236,.4324893,.5046554,.9108236,.4182588,.4343217,.9108236,.4770059,.4195563,.9108236,.4947319,.4289762,.5886949,.8244778,.420918,.5,.4322181,.3581778,.9108236,.7037884,.5548967,.5886949,.2912145,.5134184,.122158,.3537625,.8180034,.9108236,.5460783,.4698521,.5886949,.439944,.5397212,.9108236,.4599324,.4584827,.9108236,.5823658,.4564002,.5886949,.6469821,.3076814,.389785,.5084579,.6341437,.9108236,.576358,.8895081,.5886949,.4399575,.4001981,.5886949,.4750845,.4603325,.9108236,.6572219,.4591676,.9108236,.5480976,.495233,.9108236,.5049455,.4510117,.5886949,.5539244,.5061816,.5886949,.6334621,.475476,.5,.4114263,.3561917,.9108236,.4933836,.4189302,.5886949,.4135833,.5130688,.5886949,.4016388,.4790391,.9108236,.4556133,.51682,.9108236,.4639849,.455613,.9108236,.5620742,.4175607,.122158,.4135833,.4185526,.5886949,.3289839,.4311968,.5886949,.3082624,.4646299,.9108236,.4895311,.4352169,0,0,0,.5886949,.7194402,.4384937,1966q2
1966.5,.4552981,.3217454,.6518677,.9108236,.540202,.4408002,.9108236,.4114263,.4333644,.9108236,.6668583,.2564318,.5886949,.274344,.534183,.122158,.3471707,.8078573,.9108236,.9624935,.4164215,.122158,.4349397,.7384893,.122158,.2694943,.3646317,.3085751,.5009205,.5879511,.5,.4114263,.3390988,.9108236,.5066941,.4810299,.5886949,.5526509,.4880814,.5886949,.6010498,.42401,.9108236,.432614,.5033278,.9108236,.4186012,.432049,.9108236,.4770059,.4200672,.9108236,.4929581,.4197882,.5886949,.8365672,.4188814,.5,.4322181,.3581778,.9108236,.6971612,.5554699,.5886949,.2920873,.5193694,.122158,.3537625,.8180034,.9108236,.5542698,.4705343,.5886949,.4401826,.5406894,.9108236,.4581494,.4525124,.9108236,.5834806,.4543201,.5886949,.6469821,.3076814,.3686857,.5144675,.6312461,.9108236,.576358,.8893401,.5886949,.4399575,.3992756,.5886949,.4731714,.4627356,.9108236,.6577985,.4627814,.9108236,.5537302,.4959966,.9108236,.5029992,.4519376,.5886949,.549497,.5080305,.5886949,.6277303,.4749966,.5,.4114263,.3561917,.9108236,.4929238,.4158038,.5886949,.4089493,.5138158,.5886949,.4007836,.4832048,.9108236,.4568433,.5145767,.9108236,.4651529,.4581472,.9108236,.5649262,.418903,.122158,.4089493,.4180914,.5886949,.3267604,.4343645,.5886949,.3062374,.4636306,.9108236,.4920165,.4383686,0,0,0,.5886949,.7249019,.439,1966q3
1966.75,.5,.3217454,.6589886,.9108236,.5408737,.4420041,.9108236,.4114263,.4339509,.9108236,.6667258,.257738,.5886949,.274344,.5372455,.122158,.3471707,.8078573,.9108236,.9641751,.4184645,.122158,.4362919,.6932383,.122158,.2694943,.3646317,.3085751,.4993381,.5812146,.5,.4114263,.3390988,.9108236,.5062931,.4810299,.5886949,.5378836,.4877573,.5886949,.600669,.4222179,.9108236,.4327388,.5032309,.9108236,.4189438,.4292312,.9108236,.4770059,.4210004,.9108236,.4911844,.4160728,.5886949,.8479775,.4168475,.5,.4322181,.3581778,.9108236,.6904508,.5523617,.5886949,.2929617,.5260171,.122158,.3537625,.8180034,.9108236,.562432,.4712166,.5886949,.4404212,.5419754,.9108236,.4563675,.4448773,.9108236,.5845946,.4513935,.5886949,.6469821,.3076814,.348077,.520473,.6244778,.9108236,.576358,.8888771,.5886949,.4399575,.3993653,.5886949,.4712591,.4651404,.9108236,.6583745,.4652533,.9108236,.5593492,.4966462,.9108236,.5010529,.4557233,.5886949,.5450618,.5098791,.5886949,.6219624,.4725737,.5,.4114263,.3561917,.9108236,.4924641,.4158038,.5886949,.4043313,.5137691,.5886949,.399929,.4873729,.9108236,.4580738,.509838,.9108236,.4663213,.4618164,.9108236,.5677739,.4202242,.122158,.4043313,.419066,.5886949,.3245446,.4375749,.5886949,.3042199,.4650292,.9108236,.4945023,.4409407,0,0,0,.5886949,.730297,.4387567,1966q4
1967,.5447019,.3217454,.6615758,.9108236,.5428908,.4431778,.9108236,.4114263,.4344532,.9108236,.6652402,.2572412,.5886949,.274344,.541494,.122158,.3471707,.8078573,.9108236,.9661472,.4200564,.122158,.4354292,.6778619,.122158,.2694943,.3646317,.3085751,.4934404,.5694539,.5,.4114263,.3390988,.9108236,.5047486,.4810299,.5886949,.5242159,.4863423,.5886949,.5980281,.4219989,.9108236,.4323251,.5032355,.9108236,.4188627,.4263716,.9108236,.4770059,.4202782,.9108236,.4878823,.4187337,.5886949,.8609287,.4187686,.5,.4322181,.3581778,.9108236,.6828952,.5417428,.5886949,.2933363,.5324764,.122158,.3537625,.8180034,.9108236,.5721093,.4720457,.5886949,.4400952,.5415314,.9108236,.4545459,.434096,.9108236,.5838269,.448926,.5886949,.6469821,.3076814,.3280218,.5268372,.6161082,.9108236,.576358,.88768,.5886949,.4433239,.3987403,.5886949,.4679655,.4667501,.9108236,.6577317,.4643686,.9108236,.5606123,.4987776,.9108236,.4979946,.4586424,.5886949,.5380328,.5123565,.5886949,.6162422,.4697597,.5,.4114263,.3561917,.9108236,.4909689,.4126178,.5886949,.402721,.5132889,.5886949,.3977213,.489988,.9108236,.4591353,.5086189,.9108236,.4674308,.4632672,.9108236,.5694366,.420202,.122158,.402721,.4218505,.5886949,.3238755,.4411262,.5886949,.3016029,.4689004,.9108236,.4969323,.4431672,0,0,0,.5886949,.7337915,.4377379,1967q1
1967.25,.5886949,.3217454,.6630626,.9108236,.5436031,.4442179,.9108236,.4114263,.4350692,.9108236,.663227,.2563623,.5886949,.274344,.5448291,.122158,.3471707,.8078573,.9108236,.9677207,.4215849,.122158,.4332199,.6825545,.122158,.2694943,.3646317,.3085751,.4909777,.5599182,.5,.4114263,.3390988,.9108236,.5037547,.4789326,.5886949,.5064613,.4861982,.5886949,.5959112,.4219989,.9108236,.4314396,.4970041,.9108236,.418415,.4243546,.9108236,.4770059,.4195119,.9108236,.4830845,.4240806,.5886949,.8701189,.4198651,.5,.4322181,.3581778,.9108236,.6784418,.523238,.5886949,.2938489,.5359187,.122158,.3537625,.8180034,.9108236,.582601,.4680321,.5886949,.4394995,.5391972,.9108236,.4542086,.4297667,.9108236,.5836892,.4484132,.5886949,.6469821,.3076814,.3085751,.5341371,.6012094,.9108236,.576358,.8865634,.5886949,.4455711,.400634,.5886949,.4646544,.4672014,.9108236,.6568024,.4635636,.9108236,.5636227,.503143,.9108236,.496718,.4605561,.5886949,.5353935,.5123507,.5886949,.610002,.4652002,.5,.4114263,.3561917,.9108236,.4884571,.4145861,.5886949,.4047189,.5134823,.5886949,.3941532,.489988,.9108236,.4599139,.5063626,.9108236,.4678474,.4647866,.9108236,.5704478,.4208019,.122158,.4047189,.4241443,.5886949,.3278123,.444975,.5886949,.299941,.476561,.9108236,.4984662,.4444389,0,0,0,.5886949,.7298259,.4364307,1967q2
