date,index_all_shortage,energy_shortage,food_shortage,industry_shortage,labor_shortage
01jan1900,39.347393,11.166152,15.951647,8.5075445,3.7220509
01feb1900,36.574379,8.7081861,13.933098,6.9665489,6.9665489
01mar1900,26.964363,4.2297039,14.803964,5.8158426,2.114852
01apr1900,28.433598,6.690258,10.592909,7.2477794,3.9026506
01may1900,19.20986,1.6465594,11.525916,3.2931187,2.7442656
01jun1900,26.30481,4.0918593,15.198335,3.5073078,3.5073078
01jul1900,33.221775,2.1784768,20.150911,5.4461923,5.4461923
01aug1900,31.128675,3.2767026,18.021864,6.0072885,3.8228199
01sep1900,71.136047,19.604422,25.205685,14.003158,12.32278
01oct1900,43.836502,4.9940319,23.860373,9.9880638,4.9940319
01nov1900,28.568958,5.6017566,10.083161,8.4026346,4.4814057
01dec1900,13.037338,3.2593346,6.5186691,3.2593346,0
01jan1901,21.135746,3.8934269,10.01167,5.0058351,2.2248156
01feb1901,23.623283,1.1811641,11.22106,9.4493132,1.7717463
01mar1901,37.714359,1.0623763,11.154952,20.716339,4.780694
01apr1901,20.38681,2.2039795,8.2649231,7.7139277,2.2039795
01may1901,14.716071,.54503965,7.6305556,4.3603172,2.1801586
01jun1901,28.277561,2.0946341,13.091464,3.6656098,9.4258547
01jul1901,46.668018,1.1111434,27.778582,8.8891468,8.8891468
01aug1901,61.128338,1.6373662,27.289438,19.102606,13.098929
01sep1901,37.285793,2.2945104,17.208828,10.325297,7.4571586
01oct1901,57.036388,12.06539,22.485498,19.743366,2.7421339
01nov1901,73.035316,4.3603172,23.981747,39.787899,4.9053569
01dec1901,88.88295,17.45915,23.278868,41.267082,6.8778472
01jan1902,43.159359,4.0620575,12.186172,22.849073,4.0620575
01feb1902,24.020798,3.4315424,10.294627,7.435009,2.8596189
01mar1902,20.906586,2.5495837,6.1190009,9.1785011,3.0595005
01apr1902,30.888634,1.6848346,16.286736,9.5473957,3.3696692
01may1902,39.889133,9.0415363,19.146782,5.3185506,6.3822608
01jun1902,33.104576,8.0253525,12.539613,7.0221834,5.5174294
01jul1902,39.451164,8.7669258,13.150389,12.176286,5.3575654
01aug1902,53.362659,16.155666,14.68697,16.645233,5.8747883
