date,index_all_shortage,energy_shortage,food_shortage,industry_shortage,labor_shortage,index_can,index_deu,index_fra,index_gbr,index_jpn,index_usa
1900m1,41.202171,11.692508,16.703585,8.9085779,3.8975029,69.452827,83.311607,116.23388,117.86825,45.568726,43.888111
1900m2,38.298439,9.1186771,14.589883,7.2949414,7.2949414,47.39386,48.512802,73.472351,110.30677,19.901188,36.591957
1900m3,28.235422,4.4290857,15.5018,6.0899925,2.2145429,51.794884,55.226807,42.580704,66.972183,9.0621777,27.770773
1900m4,29.773914,7.0056267,11.092242,7.5894289,4.0866156,36.411392,52.412407,44.900845,92.690544,19.111916,29.283945
1900m5,20.115383,1.7241757,12.06923,3.4483514,2.8736262,35.845264,51.597496,50.517399,47.797298,0,23.06291
1900m6,27.544777,4.2847433,15.91476,3.6726367,3.6726367,28.632517,73.271286,60.528511,97.18438,30.057751,33.335438
1900m7,34.7878,2.281167,21.100796,5.7029176,5.7029176,62.245316,56.888298,56.393665,60.363655,46.674061,32.692856
1900m8,32.596035,3.4311614,18.871387,6.290463,4.0030217,26.749931,51.340282,50.265572,77.823868,9.3604851,33.602345
1900m9,74.489288,20.528542,26.393841,14.663244,12.903656,64.017639,99.463753,57.999374,101.99252,48.003017,72.291016
1900m10,45.902885,5.2294426,24.985113,10.458885,5.2294426,90.599205,81.145935,51.073265,101.03949,38.043579,47.466099
1900m11,29.915657,5.8658152,10.558467,8.7987232,4.6926522,27.438549,58.513248,64.449432,62.087875,9.6014509,24.379351
1900m12,13.651898,3.4129746,6.8259492,3.4129746,0,8.8693819,5.6742396,24.999569,34.405052,0,13.043604
1901m1,22.132053,4.0769572,10.483604,5.2418022,2.32969,63.569336,17.429512,25.596987,30.823828,9.5333729,21.702375
1901m2,24.736849,1.2368425,11.750004,9.8947401,1.8552636,28.927917,24.675741,40.768654,32.729008,0,26.588966
1901m3,39.492157,1.1124551,11.680779,21.692875,5.0060482,43.364468,55.485352,36.66861,58.875,0,39.858257
1901m4,21.347813,2.3078716,8.6545191,8.0775509,2.3078716,8.9962845,28.777134,44.375214,34.897316,0,19.018457
1901m5,15.409764,.570732,7.9902482,4.565856,2.282928,26.697159,39.852554,31.354002,34.520145,9.3420181,20.448811
1901m6,29.610521,2.193372,13.708575,3.8384011,9.8701744,102.59946,60.168728,90.372086,91.206413,0,35.363937
1901m7,48.867874,1.1635208,29.08802,9.3081665,9.3081665,45.355057,29.016165,76.703667,74.772774,9.5225372,50.859234
1901m8,64.009834,1.7145492,28.575821,20.003075,13.716393,115.84667,45.608368,87.911865,120.98656,37.41943,64.707047
1901m9,39.043388,2.4026701,18.020027,10.812016,7.8086777,74.926537,65.91021,59.397392,72.66153,29.496052,38.738472
1901m10,59.724995,12.634133,23.545429,20.674036,2.8713939,179.0871,108.84343,113.57585,147.62234,47.000366,60.081593
1901m11,76.478088,4.565856,25.112209,41.663437,5.1365881,240.27443,113.86443,131.68681,146.71063,56.052113,76.887535
1901m12,93.072762,18.28215,24.3762,43.212353,7.2020588,146.84993,105.00083,103.47917,146.59924,27.204641,84.161789
