conm,quarter,firm,tpuashare
TARGET CORP,2005q1,TGT,0
ARCH COAL INC,2005q1,ARCH,0
7-ELEVEN INC,2005q1,SE.3,0
BLUE COAT SYSTEMS INC,2005q1,BCSI,0
ALLIED HOLDINGS INC,2005q1,AHIZQ,0
COMMUNITY HEALTH SYSTEMS INC,2005q1,CYH,0
NOVAMED INC,2005q1,NOVA.1,0
BECTON DICKINSON & CO,2005q1,BDX,0
HUB GROUP INC  -CL A,2005q1,HUBG,0
OPSWARE INC,2005q1,OPSW,0
INTROGEN THERAPEUTICS INC,2005q1,INGNQ,0
KEYNOTE SYSTEMS INC,2005q1,KEYN,0
BMC SOFTWARE INC,2005q1,BMC,0
INGLES MARKETS INC  -CL A,2005q1,IMKTA,0
TRIZEC PROPERTIES INC,2005q1,TRZ,0
LECROY CORP,2005q1,LCRY,0
NATURAL GAS SERVICES GROUP,2005q1,NGS,0
ACE COMM CORP,2005q1,3ACEC,0
COST PLUS INC,2005q1,CPWM,0
ARIBA INC,2005q1,ARBA,0
HEADWATERS INC,2005q1,HW,0
ILINC COMMUNICATIONS INC,2005q1,ILNC,0
SABA SOFTWARE INC,2005q1,SABA,0
DISCOVERY PARTNERS INTL INC,2005q1,DPII,0
INTL FLAVORS & FRAGRANCES,2005q1,IFF,0
PETSMART INC,2005q1,PETM,0
NANOMETRICS INC,2005q1,NANO,0
AMERUS GROUP CO  -CL A,2005q1,AMH.2,0
POLYPORE INTERNATIONAL INC,2005q1,PPO,0
EDGEWATER TECHNOLOGY INC,2005q1,EDGW,0
LANDEC CORP,2005q1,LNDC,0
STEIN MART INC,2005q1,SMRT,0
K2 INC,2005q1,KTO,0
AVX CORP,2005q1,AVX,0
ZONES INC,2005q1,ZONS,0
AMERICAN TECHNICAL CERAMICS,2005q1,AMK.2,0
PALMSOURCE INC,2005q1,PSRC,0
GUESS INC,2005q1,GES,0
EOG RESOURCES INC,2005q1,EOG,0
VERTEX PHARMACEUTICALS INC,2005q1,VRTX,0
AMYLIN PHARMACEUTICALS INC,2005q1,AMLN,0
BROADVISION INC,2005q1,BVSN,0
LA-Z-BOY INC,2005q1,LZB,0
DICKS SPORTING GOODS INC,2005q1,DKS,0
GLADSTONE CAPITAL CORP,2005q1,GLAD,0
URS CORP,2005q1,URS,0
SMITH INTERNATIONAL INC,2005q1,SII,0
BEBE STORES INC,2005q1,BEBE,0
PANERA BREAD CO,2005q1,PNRA,0
JABIL INC,2005q1,JBL,0
HEIDRICK & STRUGGLES INTL,2005q1,HSII,0
KIMBERLY-CLARK CORP,2005q1,KMB,0
RENT WAY INC,2005q1,RWY,0
CAPTARIS INC,2005q1,CAPA.,0
PEGASYSTEMS INC,2005q1,PEGA,0
UNIVERSAL ELECTRONICS INC,2005q1,UEIC,0
TIDEWATER INC,2005q1,TDW,0
REMEC INC,2005q1,3REMC,0
RADIANT SYSTEMS INC,2005q1,RADS,0
